Date             P       T       L
2017-05-20     26        26        71
2017-05-19     49        44        10
2017-05-18     30        36        48
2017-05-17     66        16        73
2017-05-16     45        47        75
2017-05-15     28        41        52
2017-05-14     37        29        49
2017-05-13     50        34        15
2017-05-12     51        16        43
2017-05-11     40        38        72
2017-05-10     31        50        73
2017-05-09     64        39        48
2017-05-08     64        30        43
2017-05-07     41        47        45
2017-05-06     33        31        62
2017-05-05     35        47        65
2017-05-04     49        36        90
2017-05-03     47        25        66
2017-05-02     32        38        20
2017-05-01     25        31        68
2017-04-30     51        27        76
2017-04-29     32        49        29
2017-04-28     45        27        30
2017-04-27     35        48        94
2017-04-26     43        30        88
2017-04-25     33        16        48
2017-04-24     51        38        54
2017-04-23     61        29        18
2017-04-22     30        39        70
2017-04-21     48        50        18
2017-04-20     38        16        33
2017-04-19     42        49        87
2017-04-18     29        41        19
2017-04-17     48        27        13
2017-04-16     68        45        89
2017-04-15     40        41        67
2017-04-14     34        32        74
2017-04-13     36        16        63
2017-04-12     28        31        67
2017-04-11     48        44        10
2017-04-10     34        34        44
2017-04-09     56        40        24
2017-04-08     64        22        100
2017-04-07     57        16        64
2017-04-06     67        17        52
2017-04-05     68        25        55
2017-04-04     28        21        66
2017-04-03     33        32        82
2017-04-02     25        27        55
2017-04-01     53        45        29
2017-03-31     38        16        48
2017-03-30     55        49        74
2017-03-29     58        31        18
2017-03-28     44        36        100
2017-03-27     68        18        87
2017-03-26     30        31        20
2017-03-25     43        26        12
2017-03-24     30        20        34
2017-03-23     38        28        100
2017-03-22     70        15        53
2017-03-21     25        19        36
2017-03-20     33        26        82
2017-03-19     59        22        29
2017-03-18     56        22        52
2017-03-17     70        41        34
2017-03-16     61        47        60
2017-03-15     43        16        69
2017-03-14     57        15        88
2017-03-13     36        48        89
2017-03-12     39        25        45
2017-03-11     48        34        68
2017-03-10     63        20        13
2017-03-09     33        22        81
2017-03-08     37        36        36
2017-03-07     52        26        97
2017-03-06     68        43        71
2017-03-05     61        23        44
2017-03-04     51        34        72
2017-03-03     62        24        21
2017-03-02     66        38        92
2017-03-01     59        17        88
2017-02-28     50        19        39
2017-02-27     28        49        60
2017-02-26     61        21        36
2017-02-25     63        26        72
2017-02-24     54        44        25
2017-02-23     47        28        58
2017-02-22     25        45        35
2017-02-21     66        15        42
2017-02-20     53        25        78
2017-02-19     70        22        11
2017-02-18     37        32        57
2017-02-17     25        29        40
2017-02-16     34        21        14
2017-02-15     55        33        99
2017-02-14     43        23        26
2017-02-13     25        46        46
2017-02-12     53        31        24
2017-02-11     34        28        71
2017-02-10     57        47        26
2017-02-09     41        16        14
2017-02-08     69        27        24
2017-02-07     48        50        13
2017-02-06     69        40        95
2017-02-05     49        27        94
2017-02-04     47        19        66
2017-02-03     56        39        92
2017-02-02     69        47        97
2017-02-01     69        22        94
2017-01-31     36        20        73
2017-01-30     43        46        74
2017-01-29     57        30        54
2017-01-28     25        21        47
2017-01-27     37        26        17
2017-01-26     53        46        59
2017-01-25     25        28        35
2017-01-24     40        35        58
2017-01-23     42        43        94
2017-01-22     62        22        87
2017-01-21     56        29        35
2017-01-20     30        26        31
2017-01-19     34        20        51
2017-01-18     59        23        35
2017-01-17     25        49        26
2017-01-16     64        40        75
2017-01-15     67        21        88
2017-01-14     25        48        76
2017-01-13     36        26        88
2017-01-12     36        41        36
2017-01-11     47        50        28
2017-01-10     28        26        53
2017-01-09     40        30        91
2017-01-08     55        24        86
2017-01-07     30        46        35
2017-01-06     49        45        37
2017-01-05     27        38        15
2017-01-04     40        44        19
2017-01-03     61        41        69
2017-01-02     59        38        39
2017-01-01     67        17        34
2016-12-31     54        30        63
2016-12-30     44        20        31
2016-12-29     41        20        79
2016-12-28     33        41        86
2016-12-27     67        48        54
2016-12-26     36        39        15
2016-12-25     67        33        93
2016-12-24     34        31        23
2016-12-23     25        35        10
2016-12-22     32        32        80
2016-12-21     26        21        15
2016-12-20     32        34        74
2016-12-19     63        19        64
2016-12-18     52        49        42
2016-12-17     38        49        58
2016-12-16     62        46        17
2016-12-15     25        33        28
2016-12-14     54        31        86
2016-12-13     55        32        31
2016-12-12     59        34        77
2016-12-11     27        33        91
2016-12-10     52        46        65
2016-12-09     49        19        31
2016-12-08     53        33        86
2016-12-07     55        17        54
2016-12-06     68        47        37
2016-12-05     38        31        67
2016-12-04     40        48        70
2016-12-03     59        32        70
2016-12-02     59        47        26
2016-12-01     47        32        18
2016-11-30     46        18        25
2016-11-29     52        25        58
2016-11-28     30        43        65
2016-11-27     51        38        30
2016-11-26     67        24        42
2016-11-25     27        30        25
2016-11-24     32        30        10
2016-11-23     58        34        78
2016-11-22     60        31        95
2016-11-21     28        30        65
2016-11-20     49        35        37
2016-11-19     43        27        21
2016-11-18     34        15        91
2016-11-17     37        34        75
2016-11-16     62        49        94
2016-11-15     42        28        45
2016-11-14     46        47        48
2016-11-13     53        17        90
2016-11-12     57        35        59
2016-11-11     36        19        30
2016-11-10     56        28        73
2016-11-09     56        25        88
2016-11-08     42        42        18
2016-11-07     69        23        27
2016-11-06     61        27        30
2016-11-05     30        39        56
2016-11-04     65        41        49
2016-11-03     51        24        74
2016-11-02     30        49        53
2016-11-01     36        38        55
2016-10-31     55        29        55
2016-10-30     67        31        70
2016-10-29     32        39        69
2016-10-28     47        20        44
2016-10-27     29        36        69
2016-10-26     37        41        51
2016-10-25     25        42        22
2016-10-24     63        30        79
2016-10-23     60        44        58
2016-10-22     33        25        25
2016-10-21     29        16        23
2016-10-20     49        47        38
2016-10-19     51        33        60
2016-10-18     52        50        29
2016-10-17     64        30        16
2016-10-16     57        47        10
2016-10-15     53        25        92
2016-10-14     60        28        33
2016-10-13     26        49        52
2016-10-12     60        46        71
2016-10-11     55        47        77
2016-10-10     39        23        90
2016-10-09     63        39        35
2016-10-08     40        40        92
2016-10-07     44        49        84
2016-10-06     30        21        20
2016-10-05     31        19        42
2016-10-04     36        34        11
2016-10-03     36        15        22
2016-10-02     47        43        40
2016-10-01     28        29        78
2016-09-30     29        48        71
2016-09-29     56        37        88
2016-09-28     36        19        88
2016-09-27     47        24        56
2016-09-26     30        17        73
2016-09-25     62        33        96
2016-09-24     46        20        35
2016-09-23     57        23        90
2016-09-22     51        16        58
2016-09-21     44        45        60
2016-09-20     58        25        92
2016-09-19     55        36        89
2016-09-18     25        18        93
2016-09-17     40        32        57
2016-09-16     33        41        68
2016-09-15     53        42        91
2016-09-14     46        23        49
2016-09-13     53        36        41
2016-09-12     31        18        25
2016-09-11     47        38        76
2016-09-10     43        25        12
2016-09-09     68        47        73
2016-09-08     46        29        100
2016-09-07     27        31        48
2016-09-06     64        43        33
2016-09-05     43        44        60
2016-09-04     28        41        36
2016-09-03     34        32        78
2016-09-02     54        16        94
2016-09-01     34        32        54
2016-08-31     45        35        99
2016-08-30     64        24        27
2016-08-29     46        42        13
2016-08-28     56        29        66
2016-08-27     66        21        10
2016-08-26     36        47        31
2016-08-25     66        43        18
2016-08-24     43        49        28
2016-08-23     40        16        49
2016-08-22     28        16        80
2016-08-21     35        20        93
2016-08-20     52        27        88
2016-08-19     42        24        66
2016-08-18     29        44        77
2016-08-17     30        26        95
2016-08-16     35        20        20
2016-08-15     35        40        94
2016-08-14     51        25        74
2016-08-13     42        46        87
2016-08-12     54        38        61
2016-08-11     34        15        75
2016-08-10     56        18        11
2016-08-09     59        25        23
2016-08-08     44        50        63
2016-08-07     38        45        51
2016-08-06     44        26        16
2016-08-05     53        18        79
2016-08-04     33        44        26
2016-08-03     52        29        12
2016-08-02     66        43        69
2016-08-01     47        38        83
2016-07-31     42        39        50
2016-07-30     37        42        30
2016-07-29     36        25        95
2016-07-28     46        35        67
2016-07-27     30        39        23
2016-07-26     58        23        53
2016-07-25     63        44        62
2016-07-24     49        44        54
2016-07-23     27        32        23
2016-07-22     53        19        63
2016-07-21     64        23        55
2016-07-20     46        18        11
2016-07-19     39        23        11
2016-07-18     36        19        40
2016-07-17     60        30        71
2016-07-16     39        42        45
2016-07-15     56        48        28
2016-07-14     44        43        66
2016-07-13     63        38        97
2016-07-12     35        50        83
2016-07-11     67        28        25
2016-07-10     33        48        68
2016-07-09     37        18        92
2016-07-08     35        36        90
2016-07-07     48        32        92
2016-07-06     36        20        66
2016-07-05     49        39        83
2016-07-04     44        32        100
2016-07-03     49        50        41
2016-07-02     66        24        86
2016-07-01     42        43        51
2016-06-30     58        50        45
2016-06-29     35        49        33
2016-06-28     38        47        41
2016-06-27     36        40        80
2016-06-26     42        49        72
2016-06-25     70        39        42
2016-06-24     51        38        80
2016-06-23     69        23        36
2016-06-22     44        42        70
2016-06-21     39        29        55
2016-06-20     50        40        80
2016-06-19     46        24        92
2016-06-18     28        30        29
2016-06-17     55        44        83
2016-06-16     69        47        14
2016-06-15     67        27        61
2016-06-14     54        38        40
2016-06-13     29        36        86
2016-06-12     52        23        25
2016-06-11     33        28        85
2016-06-10     68        16        32
2016-06-09     25        40        34
2016-06-08     54        46        94
2016-06-07     55        35        80
2016-06-06     43        38        12
2016-06-05     32        30        28
2016-06-04     54        44        16
2016-06-03     42        26        48
2016-06-02     29        23        37
2016-06-01     58        21        75
2016-05-31     61        47        50
2016-05-30     50        40        55
2016-05-29     41        38        58
2016-05-28     44        48        40
2016-05-27     45        40        36
2016-05-26     59        31        99
2016-05-25     58        32        93
2016-05-24     67        46        88
2016-05-23     45        30        24
2016-05-22     32        33        18
2016-05-21     49        49        18
2016-05-20     29        26        47
2016-05-19     34        50        67
2016-05-18     61        49        34
2016-05-17     35        31        63
2016-05-16     57        48        89
2016-05-15     68        41        94
2016-05-14     65        30        43
2016-05-13     27        18        84
2016-05-12     62        30        87
2016-05-11     61        23        68
2016-05-10     61        35        48
2016-05-09     44        33        52
2016-05-08     30        19        74
2016-05-07     62        21        37
2016-05-06     33        30        62
2016-05-05     49        23        92
2016-05-04     50        35        87
2016-05-03     67        46        76
2016-05-02     48        42        49
2016-05-01     41        42        24
2016-04-30     61        37        97
2016-04-29     43        50        66
2016-04-28     43        42        66
2016-04-27     30        48        64
2016-04-26     50        39        68
2016-04-25     63        34        81
2016-04-24     70        36        73
2016-04-23     42        48        88
2016-04-22     26        31        26
2016-04-21     53        44        80
2016-04-20     54        46        84
2016-04-19     33        18        41
2016-04-18     54        19        50
2016-04-17     67        29        84
2016-04-16     38        23        58
2016-04-15     39        43        15
2016-04-14     40        50        65
2016-04-13     64        41        87
2016-04-12     55        22        57
2016-04-11     28        18        12
2016-04-10     55        16        20
2016-04-09     57        29        39
2016-04-08     48        37        54
2016-04-07     50        45        62
2016-04-06     54        24        76
2016-04-05     66        41        53
2016-04-04     28        15        69
2016-04-03     26        25        66
2016-04-02     30        33        23
2016-04-01     52        37        77
2016-03-31     49        45        77
2016-03-30     36        17        88
2016-03-29     66        32        84
2016-03-28     42        43        94
2016-03-27     35        17        22
2016-03-26     29        49        20
2016-03-25     30        50        29
2016-03-24     25        37        65
2016-03-23     59        42        67
2016-03-22     32        23        36
2016-03-21     59        46        15
2016-03-20     43        21        61
2016-03-19     67        43        33
2016-03-18     60        47        13
2016-03-17     28        42        23
2016-03-16     27        48        95
2016-03-15     55        44        22
2016-03-14     35        49        69
2016-03-13     32        19        95
2016-03-12     57        23        84
2016-03-11     31        24        18
2016-03-10     27        35        17
2016-03-09     38        49        52
2016-03-08     59        46        59
2016-03-07     45        42        35
2016-03-06     34        21        13
2016-03-05     26        42        60
2016-03-04     47        35        42
2016-03-03     50        15        90
2016-03-02     63        46        79
2016-03-01     30        50        12
2016-02-29     39        38        42
2016-02-28     25        46        25
2016-02-27     53        23        89
2016-02-26     58        44        40
2016-02-25     30        23        88
2016-02-24     65        31        61
2016-02-23     63        40        68
2016-02-22     31        43        71
2016-02-21     38        39        37
2016-02-20     67        45        30
2016-02-19     49        33        69
2016-02-18     69        36        41
2016-02-17     49        34        46
2016-02-16     43        18        65
2016-02-15     64        43        57
2016-02-14     51        32        39
2016-02-13     61        31        16
2016-02-12     65        25        58
2016-02-11     31        48        77
2016-02-10     51        28        82
2016-02-09     63        50        78
2016-02-08     55        22        82
2016-02-07     35        40        79
2016-02-06     68        22        91
2016-02-05     51        43        51
2016-02-04     61        41        21
2016-02-03     65        32        12
2016-02-02     26        50        74
2016-02-01     36        36        39
2016-01-31     29        30        11
2016-01-30     26        31        30
2016-01-29     55        44        10
2016-01-28     28        21        30
2016-01-27     63        48        76
2016-01-26     57        20        78
2016-01-25     51        26        75
2016-01-24     30        35        84
2016-01-23     59        39        54
2016-01-22     58        15        51
2016-01-21     59        36        65
2016-01-20     47        27        94
2016-01-19     63        30        27
2016-01-18     46        25        25
2016-01-17     40        34        59
2016-01-16     67        36        79
2016-01-15     40        18        62
2016-01-14     60        17        50
2016-01-13     31        41        93
2016-01-12     26        36        59
2016-01-11     37        23        11
2016-01-10     65        17        34
2016-01-09     36        37        99
2016-01-08     37        43        73
2016-01-07     35        40        96
2016-01-06     46        33        81
2016-01-05     34        22        53
2016-01-04     32        16        89
2016-01-03     47        18        86
2016-01-02     49        37        80
2016-01-01     35        38        20
2015-12-31     56        38        15
2015-12-30     51        20        38
2015-12-29     51        41        69
2015-12-28     56        45        71
2015-12-27     37        20        28
2015-12-26     42        18        86
2015-12-25     55        30        57
2015-12-24     55        32        69
2015-12-23     62        31        33
2015-12-22     41        36        36
2015-12-21     45        24        50
2015-12-20     45        27        62
2015-12-19     31        29        19
2015-12-18     30        19        83
2015-12-17     40        33        78
2015-12-16     55        41        90
2015-12-15     53        41        62
2015-12-14     52        31        37
2015-12-13     46        20        74
2015-12-12     33        38        40
2015-12-11     57        23        53
2015-12-10     49        29        40
2015-12-09     53        29        82
2015-12-08     33        25        10
2015-12-07     69        16        69
2015-12-06     60        44        87
2015-12-05     45        23        58
2015-12-04     53        22        76
2015-12-03     64        38        89
2015-12-02     58        40        77
2015-12-01     29        48        58
2015-11-30     39        50        98
2015-11-29     56        27        65
2015-11-28     45        46        100
2015-11-27     42        39        47
2015-11-26     33        15        77
2015-11-25     67        31        22
2015-11-24     31        27        71
2015-11-23     51        22        31
2015-11-22     38        16        54
2015-11-21     58        48        10
2015-11-20     33        29        60
2015-11-19     49        39        35
2015-11-18     26        26        33
2015-11-17     27        22        24
2015-11-16     38        20        11
2015-11-15     36        49        27
2015-11-14     46        23        55
2015-11-13     54        43        20
2015-11-12     39        30        27
2015-11-11     35        21        34
2015-11-10     58        50        51
2015-11-09     59        19        57
2015-11-08     36        24        94
2015-11-07     29        33        52
2015-11-06     25        18        26
2015-11-05     56        40        23
2015-11-04     43        18        84
2015-11-03     35        30        85
2015-11-02     53        34        50
2015-11-01     28        43        69
2015-10-31     39        30        66
2015-10-30     44        33        47
2015-10-29     33        37        65
2015-10-28     48        34        70
2015-10-27     44        43        54
2015-10-26     39        30        30
2015-10-25     65        29        80
2015-10-24     70        47        50
2015-10-23     70        15        24
2015-10-22     52        36        51
2015-10-21     70        25        85
2015-10-20     61        43        65
2015-10-19     41        42        65
2015-10-18     55        46        64
2015-10-17     58        16        91
2015-10-16     63        44        56
2015-10-15     50        49        74
2015-10-14     59        25        56
2015-10-13     49        19        77
2015-10-12     70        30        62
2015-10-11     26        15        70
2015-10-10     37        41        67
2015-10-09     59        21        10
2015-10-08     33        31        42
2015-10-07     65        46        16
2015-10-06     33        42        85
2015-10-05     27        15        34
2015-10-04     69        38        47
2015-10-03     34        31        95
2015-10-02     64        17        74
2015-10-01     68        46        94
2015-09-30     36        32        33
2015-09-29     57        30        90
2015-09-28     61        40        39
2015-09-27     54        15        33
2015-09-26     56        23        20
2015-09-25     60        36        73
2015-09-24     35        33        11
2015-09-23     58        35        48
2015-09-22     39        47        31
2015-09-21     42        16        52
2015-09-20     67        22        99
2015-09-19     62        32        47
2015-09-18     68        23        29
2015-09-17     39        34        51
2015-09-16     63        38        64
2015-09-15     62        48        86
2015-09-14     46        44        76
2015-09-13     50        21        31
2015-09-12     52        44        96
2015-09-11     60        36        72
2015-09-10     28        40        73
2015-09-09     29        48        42
2015-09-08     32        18        15
2015-09-07     61        47        32
2015-09-06     26        40        34
2015-09-05     35        35        60
2015-09-04     39        16        26
2015-09-03     65        15        37
2015-09-02     57        22        46
2015-09-01     36        50        82
2015-08-31     41        39        50
2015-08-30     59        42        28
2015-08-29     63        18        22
2015-08-28     41        24        58
2015-08-27     58        27        91
2015-08-26     69        23        23
2015-08-25     30        33        24
2015-08-24     34        25        74
2015-08-23     63        38        23
2015-08-22     28        21        20
2015-08-21     54        34        95
2015-08-20     57        18        35
2015-08-19     35        44        55
2015-08-18     40        29        68
2015-08-17     51        17        94
2015-08-16     49        34        96
2015-08-15     44        41        24
2015-08-14     47        19        40
2015-08-13     32        17        70
2015-08-12     37        27        37
2015-08-11     64        28        25
2015-08-10     29        34        18
2015-08-09     54        37        21
2015-08-08     57        39        94
2015-08-07     66        38        76
2015-08-06     66        21        47
2015-08-05     60        29        33
2015-08-04     69        16        41
2015-08-03     48        42        23
2015-08-02     54        15        34
2015-08-01     66        31        45
2015-07-31     31        40        87
2015-07-30     59        34        50
2015-07-29     47        18        37
2015-07-28     56        37        58
2015-07-27     37        31        92
2015-07-26     40        29        19
2015-07-25     38        32        56
2015-07-24     69        36        29
2015-07-23     35        37        13
2015-07-22     26        50        23
2015-07-21     37        30        95
2015-07-20     25        17        71
2015-07-19     47        30        13
2015-07-18     70        25        26
2015-07-17     70        26        100
2015-07-16     40        22        54
2015-07-15     49        34        41
2015-07-14     38        40        86
2015-07-13     39        17        21
2015-07-12     53        18        62
2015-07-11     50        41        62
2015-07-10     43        47        72
2015-07-09     45        39        51
2015-07-08     36        19        87
2015-07-07     40        45        25
2015-07-06     46        41        54
2015-07-05     58        43        55
2015-07-04     53        49        19
2015-07-03     69        44        25
2015-07-02     27        48        15
2015-07-01     27        16        38
2015-06-30     61        45        10
2015-06-29     52        32        13
2015-06-28     48        28        98
2015-06-27     29        44        89
2015-06-26     38        24        73
2015-06-25     68        48        33
2015-06-24     48        27        35
2015-06-23     59        30        67
2015-06-22     70        22        77
2015-06-21     62        43        82
2015-06-20     27        47        91
2015-06-19     66        37        66
2015-06-18     40        28        83
2015-06-17     53        35        40
2015-06-16     38        43        40
2015-06-15     69        42        35
2015-06-14     28        38        30
2015-06-13     65        28        56
2015-06-12     27        42        82
2015-06-11     26        17        44
2015-06-10     45        39        75
2015-06-09     36        42        38
2015-06-08     61        28        68
2015-06-07     42        31        84
2015-06-06     49        26        10
2015-06-05     43        19        39
2015-06-04     39        23        78
2015-06-03     65        20        38
2015-06-02     45        31        89
2015-06-01     47        18        63
2015-05-31     31        26        64
2015-05-30     65        22        47
2015-05-29     55        23        64
2015-05-28     39        43        26
2015-05-27     26        43        15
2015-05-26     62        21        94
2015-05-25     65        36        33
2015-05-24     41        30        78
2015-05-23     54        23        73
2015-05-22     28        16        85
2015-05-21     54        46        92
2015-05-20     35        40        53
2015-05-19     38        33        31
2015-05-18     37        35        70
2015-05-17     39        16        57
2015-05-16     69        37        55
2015-05-15     39        28        14
2015-05-14     39        25        92
2015-05-13     58        23        32
2015-05-12     28        20        77
2015-05-11     34        28        13
2015-05-10     49        28        54
2015-05-09     43        18        82
2015-05-08     69        37        41
2015-05-07     60        44        78
2015-05-06     63        41        62
2015-05-05     34        45        81
2015-05-04     30        29        33
2015-05-03     38        20        42
2015-05-02     58        28        10
2015-05-01     55        38        73
2015-04-30     54        39        87
2015-04-29     26        23        50
2015-04-28     38        50        72
2015-04-27     31        37        92
2015-04-26     59        15        20
2015-04-25     46        15        71
2015-04-24     57        40        32
2015-04-23     42        48        91
2015-04-22     70        42        48
2015-04-21     26        42        86
2015-04-20     61        33        97
2015-04-19     46        37        24
2015-04-18     41        36        64
2015-04-17     45        17        51
2015-04-16     29        16        57
2015-04-15     68        30        27
2015-04-14     36        48        93
2015-04-13     59        31        98
2015-04-12     36        30        90
2015-04-11     38        46        47
2015-04-10     55        24        58
2015-04-09     37        34        44
2015-04-08     26        33        67
2015-04-07     59        17        74
2015-04-06     28        44        57
2015-04-05     37        47        100
2015-04-04     33        15        91
2015-04-03     34        30        94
2015-04-02     25        23        88
2015-04-01     37        28        57
2015-03-31     60        28        57
2015-03-30     43        38        63
2015-03-29     26        44        74
2015-03-28     42        47        23
2015-03-27     61        45        79
2015-03-26     30        15        64
2015-03-25     68        46        88
2015-03-24     27        45        53
2015-03-23     28        47        47
2015-03-22     66        23        25
2015-03-21     68        17        70
2015-03-20     67        25        17
2015-03-19     48        24        92
2015-03-18     30        16        83
2015-03-17     57        41        94
2015-03-16     39        35        62
2015-03-15     26        18        36
2015-03-14     32        19        36
2015-03-13     30        30        98
2015-03-12     35        41        19
2015-03-11     63        30        63
2015-03-10     44        40        30
2015-03-09     40        26        31
2015-03-08     66        39        62
2015-03-07     36        34        89
2015-03-06     53        43        51
2015-03-05     42        43        13
2015-03-04     27        30        58
2015-03-03     54        29        73
2015-03-02     43        39        68
2015-03-01     62        42        100
2015-02-28     51        44        72
2015-02-27     36        26        64
2015-02-26     44        36        71
2015-02-25     43        35        33
2015-02-24     26        45        70
2015-02-23     38        47        66
2015-02-22     53        18        81
2015-02-21     69        34        66
2015-02-20     66        20        77
2015-02-19     64        44        47
2015-02-18     27        48        78
2015-02-17     40        44        21
2015-02-16     60        38        82
2015-02-15     47        40        20
2015-02-14     54        45        76
2015-02-13     29        29        89
2015-02-12     37        24        85
2015-02-11     31        23        82
2015-02-10     38        43        17
2015-02-09     59        35        90
2015-02-08     47        37        42
2015-02-07     53        33        64
2015-02-06     45        46        67
2015-02-05     46        17        83
2015-02-04     65        16        78
2015-02-03     26        47        76
2015-02-02     64        20        26
2015-02-01     26        36        29
2015-01-31     34        19        48
2015-01-30     45        28        76
2015-01-29     34        18        65
2015-01-28     55        20        72
2015-01-27     69        30        98
2015-01-26     38        24        89
2015-01-25     56        29        95
2015-01-24     60        36        14
2015-01-23     42        16        59
2015-01-22     27        29        17
2015-01-21     58        45        93
2015-01-20     55        20        19
2015-01-19     59        20        39
2015-01-18     63        28        15
2015-01-17     33        43        74
2015-01-16     70        17        55
2015-01-15     34        45        32
2015-01-14     39        39        35
2015-01-13     48        41        54
2015-01-12     36        46        74
2015-01-11     57        40        72
2015-01-10     52        47        81
2015-01-09     53        35        22
2015-01-08     37        48        14
2015-01-07     44        20        15
2015-01-06     55        41        11
2015-01-05     28        40        11
2015-01-04     27        40        80
2015-01-03     49        37        79
2015-01-02     27        33        75
2015-01-01     60        17        15
2014-12-31     29        31        31
2014-12-30     60        47        46
2014-12-29     43        18        46
2014-12-28     67        26        15
2014-12-27     69        37        78
2014-12-26     65        26        31
2014-12-25     33        36        90
2014-12-24     49        41        47
2014-12-23     65        21        89
2014-12-22     60        36        33
2014-12-21     66        20        93
2014-12-20     65        25        100
2014-12-19     42        49        51
2014-12-18     69        40        69
2014-12-17     33        37        89
2014-12-16     66        33        22
2014-12-15     59        18        100
2014-12-14     35        23        28
2014-12-13     40        16        49
2014-12-12     64        17        30
2014-12-11     58        29        64
2014-12-10     50        32        23
2014-12-09     37        31        57
2014-12-08     31        38        23
2014-12-07     32        35        87
2014-12-06     39        20        38
2014-12-05     50        32        52
2014-12-04     53        32        46
2014-12-03     67        18        19
2014-12-02     37        25        46
2014-12-01     30        20        99
2014-11-30     27        29        24
2014-11-29     62        35        99
2014-11-28     66        25        15
2014-11-27     33        45        33
2014-11-26     45        42        65
2014-11-25     36        44        69
2014-11-24     43        16        73
2014-11-23     44        31        52
2014-11-22     27        36        73
2014-11-21     43        26        66
2014-11-20     36        44        87
2014-11-19     31        27        67
2014-11-18     70        35        90
2014-11-17     46        26        87
2014-11-16     31        39        38
2014-11-15     69        32        64
2014-11-14     68        39        80
2014-11-13     59        23        28
2014-11-12     65        45        18
2014-11-11     34        20        85
2014-11-10     55        50        19
2014-11-09     44        48        12
2014-11-08     32        17        51
2014-11-07     33        20        30
2014-11-06     25        46        77
2014-11-05     55        50        53
2014-11-04     57        28        82
2014-11-03     38        26        80
2014-11-02     39        38        39
2014-11-01     62        40        44
2014-10-31     25        17        61
2014-10-30     69        37        77
2014-10-29     36        37        87
2014-10-28     41        20        26
2014-10-27     46        31        93
2014-10-26     31        44        51
2014-10-25     38        20        65
2014-10-24     31        27        83
2014-10-23     58        31        33
2014-10-22     25        41        80
2014-10-21     68        16        13
2014-10-20     59        44        29
2014-10-19     27        46        14
2014-10-18     47        23        82
2014-10-17     62        50        38
2014-10-16     34        16        17
2014-10-15     29        46        99
2014-10-14     61        31        96
2014-10-13     49        49        49
2014-10-12     32        45        87
2014-10-11     59        25        48
2014-10-10     47        46        56
2014-10-09     46        24        38
2014-10-08     45        48        28
2014-10-07     31        48        92
2014-10-06     66        29        56
2014-10-05     34        27        19
2014-10-04     38        32        26
2014-10-03     28        37        37
2014-10-02     25        46        94
2014-10-01     37        17        91
2014-09-30     59        30        13
2014-09-29     70        28        28
2014-09-28     31        34        50
2014-09-27     69        15        100
2014-09-26     37        32        92
2014-09-25     53        50        68
2014-09-24     40        46        17
2014-09-23     41        30        48
2014-09-22     61        48        59
2014-09-21     46        38        21
2014-09-20     55        22        68
2014-09-19     47        43        78
2014-09-18     50        26        55
2014-09-17     62        20        82
2014-09-16     36        47        34
2014-09-15     51        34        45
2014-09-14     57        18        69
2014-09-13     30        28        56
2014-09-12     68        45        58
2014-09-11     39        49        79
2014-09-10     31        20        75
2014-09-09     68        16        16
2014-09-08     42        30        85
2014-09-07     65        29        40
2014-09-06     70        42        50
2014-09-05     41        49        48
2014-09-04     49        38        30
2014-09-03     25        37        70
2014-09-02     54        35        61
2014-09-01     51        40        52
2014-08-31     59        40        36
2014-08-30     41        40        95
2014-08-29     37        35        31
2014-08-28     34        34        34
2014-08-27     68        40        53
2014-08-26     61        17        39
2014-08-25     70        28        59
2014-08-24     42        23        48
2014-08-23     45        23        44
2014-08-22     44        45        53
2014-08-21     35        35        44
2014-08-20     56        35        51
2014-08-19     69        26        41
2014-08-18     49        28        99
2014-08-17     52        46        60
2014-08-16     35        42        81
2014-08-15     63        47        45
2014-08-14     41        29        74
2014-08-13     31        50        15
2014-08-12     29        39        89
2014-08-11     35        25        86
2014-08-10     49        30        15
2014-08-09     27        33        15
2014-08-08     60        33        70
2014-08-07     45        18        52
2014-08-06     38        45        19
2014-08-05     59        43        48
2014-08-04     47        25        68
2014-08-03     28        41        83
2014-08-02     37        48        26
2014-08-01     44        41        39
2014-07-31     63        18        41
2014-07-30     42        27        40
2014-07-29     35        24        33
2014-07-28     57        30        75
2014-07-27     48        50        64
2014-07-26     26        44        21
2014-07-25     49        44        15
2014-07-24     69        22        50
2014-07-23     62        21        16
2014-07-22     61        48        56
2014-07-21     37        27        36
2014-07-20     47        22        84
2014-07-19     69        26        73
2014-07-18     58        39        46
2014-07-17     36        37        53
2014-07-16     42        27        43
2014-07-15     34        28        37
2014-07-14     49        46        88
2014-07-13     27        35        39
2014-07-12     52        49        92
2014-07-11     35        18        66
2014-07-10     67        39        33
2014-07-09     37        37        96
2014-07-08     42        23        88
2014-07-07     46        43        45
2014-07-06     52        49        23
2014-07-05     67        36        44
2014-07-04     64        49        73
2014-07-03     60        46        74
2014-07-02     66        28        57
2014-07-01     56        30        36
2014-06-30     62        34        56
2014-06-29     63        34        76
2014-06-28     32        37        15
2014-06-27     44        25        27
2014-06-26     43        26        100
2014-06-25     37        35        12
2014-06-24     54        39        94
2014-06-23     54        45        63
2014-06-22     32        37        61
2014-06-21     38        45        79
2014-06-20     56        48        45
2014-06-19     68        43        55
2014-06-18     65        34        95
2014-06-17     48        19        80
2014-06-16     52        39        55
2014-06-15     69        49        56
2014-06-14     34        20        66
2014-06-13     45        35        77
2014-06-12     45        35        37
2014-06-11     38        36        20
2014-06-10     31        40        51
